epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,4314.94,1.89057,1.19567,0.96491,0.71803,0.66133,0.77481,0.3673,1.65483,1.06287,0.8595,0.004819,0.004819,0.004819
159,4342.52,1.85122,1.11829,0.91195,0.5522,0.76583,0.73799,0.33224,1.69094,1.12708,0.85781,0.004786,0.004786,0.004786
160,4369.87,1.88445,1.30944,1.08278,0.54422,0.7483,0.70551,0.32026,1.72245,1.08847,0.85362,0.004753,0.004753,0.004753
161,4397.47,1.91167,1.21464,0.96437,0.37871,0.5765,0.58486,0.30901,1.75626,1.09309,0.85166,0.00472,0.00472,0.00472
162,4425.05,1.91791,1.27528,1.02678,0.38543,0.69691,0.55925,0.29011,1.75256,1.19397,0.85958,0.004687,0.004687,0.004687
163,4452.65,1.87546,1.20641,1.00748,0.4163,0.80878,0.68178,0.27185,1.73237,1.16307,0.85898,0.004654,0.004654,0.004654
164,4480.13,1.83351,1.13016,0.96113,0.58984,0.75682,0.72674,0.37678,1.69941,1.07735,0.85636,0.004621,0.004621,0.004621
165,4507.59,1.84179,1.14401,0.92581,0.70982,0.76018,0.80933,0.36033,1.755,1.05698,0.85459,0.004588,0.004588,0.004588
166,4535.81,1.84655,1.16078,0.9611,0.61134,0.76331,0.7525,0.33319,1.74595,1.05245,0.85344,0.004555,0.004555,0.004555
167,4563.87,1.87292,1.25651,1.00707,0.66947,0.74935,0.79383,0.35947,1.66555,1.08074,0.85139,0.004522,0.004522,0.004522
168,4591.32,1.83364,1.1437,0.93043,0.59528,0.76754,0.7646,0.3566,1.72381,1.1201,0.85262,0.004489,0.004489,0.004489
169,4618.78,1.81786,1.15239,0.92843,0.49873,0.81719,0.71194,0.33375,1.69295,1.13717,0.85259,0.004456,0.004456,0.004456
170,4646.79,1.82569,1.20722,0.9629,0.5997,0.75155,0.78534,0.38197,1.66849,1.13818,0.84926,0.004423,0.004423,0.004423
171,4674.78,1.79651,1.14024,0.96035,0.57808,0.89245,0.83927,0.38135,1.65849,1.03205,0.84859,0.00439,0.00439,0.00439
172,4702.51,1.94601,1.22016,1.01708,0.44859,0.8139,0.60538,0.31286,1.70451,1.05508,0.85313,0.004357,0.004357,0.004357
173,4730.15,1.83097,1.17791,0.97953,0.66738,0.71527,0.74451,0.33331,1.65556,1.00545,0.84362,0.004324,0.004324,0.004324
174,4757.71,1.81004,1.12047,0.92981,0.62966,0.72829,0.74742,0.32284,1.69019,1.00844,0.84705,0.004291,0.004291,0.004291
175,4785.15,1.86242,1.24316,1.02488,0.51702,0.81061,0.71205,0.31746,1.69019,1.17092,0.8523,0.004258,0.004258,0.004258
